Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
"Slawomir Duszynski, Jens Knodel, Matthias Naab, Dirk Hein, Clemens Schitter",WCRE,2008,"Variant Comparison - A Technique for Visualizing Software Variants","variant-preserving migration","product-family-based analysis","product-based implementation","","source code / program","DKN+:WCRE08, specification undefined (none)"
" Michael Poppleton",ABZ,2008,"The Composition of Event-B Models","model checking, theorem proving","feature-product-based analysis","components","feature-product-based specification","design","P:ABZ08"
"Christian K&auml;stner, Sven Apel",ASE,2008,"Type-Checking Software Product Lines&#8211;A Formal Approach","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","KA:ASE08, CSUR14, PhD15"
"Hendrik Post, Carsten Sinz",ASE,2008,"Configuration Lifting: Verification Meets Software Configuration","model checking, type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","PS:ASE08, CSUR14, PhD15"
" Thilo Mende,  Felix Beckwermert,  Rainer Koschke,  Gerald Meier",CSMR,2008,"Supporting the Grow-and-Prune Model in Software Product Lines Evolution Using Clone Detection","variant-preserving migration","product-based analysis","product-based implementation","","source code / program","MBKM:CSMR08, specification undefined (none)"
" Alexander Harhurin,  Judith Hartmann",FM,2008,"Towards Consistent Specifications of Product Families","theorem proving","unoptimized product-based analysis","composition-based implementation","feature-based specification","design","HH:FM08, CSUR14, PhD15"
" Alexander Gruler,  Martin Leucker,  Kathrin Scheidemann",FMOODS,2008,"Modeling and Model Checking Software Product Lines","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","GLS08, CSUR14, PhD15"
" Chang Hwan Peter Kim,  Christian K&auml;stner,  Don Batory",GPCE,2008,"On the Modularity of Feature Interactions","type checking","family-based analysis","composition-based implementation, annotation-based implementation","domain-independent specification","source code / program","KKB:GPCE08, compared to none, CSUR14, PhD15"
"Alessandro Fantechi, Stefania Gnesi",SPLC,2008,"Formal Modeling for Product Families Engineering","model checking","unoptimized product-based analysis","annotation-based implementation","family-wide specification","design","FG:SPLC08, CSUR14, PhD15"
" Jing Liu,  Josh Dehlinger,  Robyn Lutz",JSS,2007,"Safety Analysis of Software Product Lines Using State-Based Modeling","fault-tree analysis, testing","family-product-based analysis","annotation-based implementation","family-wide specification, feature-based specification","design","LDL07"
" Shan Shan Huang,  David Zook,  Yannis Smaragdakis",AOSD,2007,"cJ: Enhancing Java With Safe Type Conditions","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","HZS:AOSD07, compared to none, CSUR14, PhD15"
"David Benavides, Sergio Segura, Pablo Trinidad, Antonio Ruiz-Cortes",VAMOS,2007,"FAMA: Tooling a Framework for the Automated Analysis of Feature Models","feature-model analysis","family-based analysis","implementation independent","specification independent","","BSTRC:VaMoS07"
" Kim G. Larsen,  Ulrik Nyman,  Andrzej Wasowski",ESOP,2007,"Modal I/O Automata for Interface and Product Line Theories","model checking","analysis strategy undefined","composition-based implementation","specification undefined","design","LNW:ESOP07"
"Sahil Thaker, Don Batory, David Kitchin, William Cook",GPCE,2007,"Safe Composition of Product Lines","type checking","family-based analysis","composition-based implementation","domain-independent specification","source code / program","TBKC07, compared to none, CSUR14, PhD15"
" Myra B. Cohen,  Matthew B. Dwyer,  Jiangfan Shi",ISSTA,2007,"Interaction Testing of Highly-configurable Systems in the Presence of Constraints","","","","","","CDS:ISSTA07"
" Panagiotis Manolios,  Daron Vroon,  Gayatri Subramanian",ISSTA,2007,"Automating Component-Based System Assembly","model checking","unoptimized product-based analysis","components","","design","MVS:ISSTA07"
" Praveen Jayaraman,  Jon Whittle,  Ahmed M. Elkhodary,  Hassan Gomaa",MODELS,2007,"Model Composition in Product Lines and Feature Interaction Detection Using Critical Pair Analysis","type checking","sample-based analysis","composition-based implementation","domain-independent specification","design","JWEG:MODELS07, CSUR14, PhD15"
" Myra B. Cohen,  Matthew B. Dwyer,  Jiangfan Shi",MUTATION,2007,"Exploiting Constraint Solving History to Construct Interaction Test Suites","","","","","","CDS:MUTATION07"
"Andreas Metzger, Klaus Pohl, Patrick Heymans, Pierre-Yves Schobbens, Germain Saval",RE,2007,"Disambiguating the Documentation of Variability in Software Product Lines: A Separation of Concerns, Formalization and Automated Analysis","type checking","family-based analysis","annotation-based implementation","domain-independent specification","design","MHPSS:RE07, compared to none, CSUR14, PhD15"
"Michael Poppleton",REFSQ,2007,"Towards Feature-Oriented Specification and Development With Event-B","model checking, theorem proving","feature-product-based analysis","components","feature-product-based specification","design","P:REFSQ07"
" Tomoji Kishi,  Natsuko Noda",CACM,2006,"Formal Verification and Software Product Lines","model checking","unoptimized product-based analysis","annotation-based implementation","family-wide specification","design","KN06, CSUR14, PhD15"
" Josh Dehlinger,  Robyn R. Lutz",AUSE,2006,"PLFaultCAT: A Product-Line Software Fault Tree Analysis Tool","fault-tree analysis, testing","family-product-based analysis","annotation-based implementation","family-wide specification, feature-based specification","design","DL:AUSE06"
"Shmuel Katz",TAOSD,2006,"Aspect Categories and Classes of Temporal Properties","model checking, static analysis","regression-based analysis","composition-based implementation","feature-based specification","source code / program","K06, CSUR14, PhD15"
"Krzysztof Czarnecki, Krzysztof Pietroszek",GPCE,2006,"Verifying Feature-Based Model Templates Against Well-Formedness OCL Constraints","type checking","family-based analysis","annotation-based implementation","domain-independent specification","design","CP06, compared to none, CSUR14, PhD15, BDD"
" Delesley Hutchins",OOPSLA,2006,"Eliminating Distinctions of Class: Using Prototypes to Model Virtual Classes","type checking","feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","H:OOPSLA06, CSUR14, PhD15"
" Myra B. Cohen,  Matthew B. Dwyer,  Jiangfan Shi",ROSATEA,2006,"Coverage and Adequacy in Software Product Line Testing","testing","product-based analysis","family-based implementation","family-based specification","","CDS:ROSATEA06"
" Dario Fischbein,  Sebastian Uchitel,  Victor Braberman",ROSATEA,2006,"A Foundation for Behavioural Conformance in Software Product Line Architectures","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","FUB:ROSATEA06, CSUR14, PhD15"
" Harry Li,  Shriram Krishnamurthi,  Kathi Fisler",AUSE,2005,"Modular Verification of Open Features Using Three-Valued Model Checking","model checking","feature-product-based analysis","composition-based implementation","feature-based specification","design","LKF:AUSE05, CSUR14, PhD15"
" Tetsuo Yamamoto,  Makoto Matsushita,  Toshihiro Kamiya,  Katsuro Inoue",PROFES,2005,"Measuring Similarity of Large Software Systems Based on Source Code Correspondence","variant-preserving migration","product-based analysis","product-based implementation","","source code / program","YMKI:PROFES05, specification undefined (none)"
" Kathi Fisler,  Shriram Krishnamurthi",VSTTE,2005,"Decomposing Verification Around End-User Features","model checking","feature-product-based analysis","composition-based implementation","feature-based specification","design","FK:VSTTE05, CSUR14, PhD15"
" Christian Prehofer",SOSYM,2004,"Plug-and-Play Composition of Features and Feature Interactions With Statechart Diagrams","analysis method undefined","analysis strategy undefined","composition-based implementation","specification undefined","design","P:SoSyM04"
"Birgit Geppert, J. Jenny Li, Frank R&ouml;&szlig;ler, David M. Weiss",ICSR,2004,"Towards Generating Acceptance Tests for Product Lines","testing","unoptimized product-based analysis","","","","GLRW:ICSR04, feature-based specification? family-based specification?"
"Josh Dehlinger, Robyn R. Lutz",HASE,2004,"Software Fault Tree Analysis for Product Lines","fault-tree analysis, testing","family-product-based analysis","annotation-based implementation","family-wide specification, feature-based specification","design","DL:HASE04"
" Colin Blundell,  Kathi Fisler,  Shriram Krishnamurthi,  Pascal Van Hentenryck",ASE,2004,"Parameterized Interfaces for Open System Verification of Product Lines","model checking","feature-product-based analysis","composition-based implementation","family-wide specification","design","BFKH:ASE04, CSUR14, PhD15"
