Authors,Venue,Year,Title,Analysis Method,Analysis Strategy,Implementation Strategy,Specification Strategy,SE Layer,Further Keywords
" Maurice H. ter Beek,  Erik P. de Vink",ISOLA,2014,"Towards Modular Verification of Software Product Lines With mCRL2","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","BV:ISoLA14, PhD15"
" Malte Lochau,  Stephan Mennicke,  Hauke Baller,  Lars Ribbeck",ISOLA,2014,"DeltaCCS: A Core Calculus for Behavioral Change","model checking","regression-based analysis","composition-based implementation","family-wide specification","design","LMBR:ISoLA14, PhD15"
" Mustafa Al-Hajjaji,  Thomas Th&uuml;m,  Jens Meinicke,  Malte Lochau,  Gunter Saake",SPLC,2014,"Similarity-Based Prioritization in Software Product-Line Testing","testing","sample-based analysis","implementation independent","specification independent","program","ATM+:SPLC14subsumedbyATL+:SoSyM19, PhD15"
" Reimar Schr&ouml;ter,  Norbert Siegmund,  Thomas Th&uuml;m,  Gunter Saake",SPLC,2014,"Feature-Context Interfaces: Tailored Programming Interfaces for Software Product Lines","type checking","family-based analysis","composition-based implementation","domain-independent specification","source code / program","SSTS:SPLC14, PhD15"
" Thomas Th&uuml;m,  Jens Meinicke,  Fabian Benduhn,  Martin Hentschel,  Alexander von Rhein,  Gunter Saake",SPLC,2014,"Potential Synergies of Theorem Proving and Model Checking for Software Product Lines","model checking, theorem proving","family-based analysis","composition-based implementation","feature-based specification","source code","TMB+:SPLC14, PhD15, KeY, JPF, OpenJML, FeatureIDE, FeatureHouse, variability encoding"
" Xavier Devroey,  Gilles Perrouin,  Maxime Cordy,  Pierre-Yves Schobbens,  Axel Legay,  Patrick Heymans",VAMOS,2014,"Towards Statistical Prioritization for Software Product Lines Testing","model checking, testing","family-based analysis","implementation undefined","specification undefined","design","DPC+:VaMoS14"
" Clemens Dubslaff,  Sascha Kl&uuml;ppelholz,  Christel Baier",AOSD,2014,"Probabilistic Model Checking for Energy Analysis in Software Product Lines","model checking","family-based analysis","composition-based implementation","feature-based specification","design","DKB:AOSD14, non-functional properties, PhD15"
" Jan Midtgaard,  Claus Brabrand,  Andrzej Wasowski",AOSD,2014,"Systematic Derivation of Static Analyses for Software Product Lines","static analysis","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","MBW:AOSD14subsumedbyMDBW:SCP15, CSUR14, PhD15"
" Mahsa Varshosaz,  Ramtin Khosravi",APSEC,2014,"Model Checking of Software Product Lines in Presence of Nondeterminism and Probabilities","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","VK:APSEC14, probabilistic model checking, Markov decision process, PCTL, non-determinism, no tool, no evaluation"
" Iago Abal,  Claus Brabrand,  Andrzej Wasowski",ASE,2014,"42 Variability Bugs in the Linux Kernel: A Qualitative Analysis","analysis method undefined","sample-based analysis","implementation independent","","","ABW:ASE14subsumedbyAMS+:TOSEM18, no tool, evaluation"
" Reinhard Tartler,  Christian Dietrich,  Julio Sincero,  Wolfgang Schr&ouml;der-Preikschat,  Daniel Lohmann",ATC,2014,"Static Analysis of Variability in System Software: The 90,000 #Ifdefs Issue","family-specific analysis","family-product-based analysis, sample-based analysis","build system, preprocessor, family-based implementation","domain-independent specification","source code","TDS+:ATC14, tool, evaluation, no proof, SAT"
"Roberto Erick Lopez-Herrejon, Javier Ferrer, Francisco Chicano, Alexander Egyed, Enrique Alba",CEC,2014,"Comparative Analysis of Classical Multi-Objective Evolutionary Algorithms and Seeding Strategies for Pairwise Testing of Software Product Lines","","","","","","LHF+:CEC14"
" Matthias Kowal,  Ina Schaefer,  Mirco Tribastone",FASE,2014,"Family-Based Performance Analysis of Variant-Rich Software Systems","performance analysis","family-product-based analysis","delta modules, family-based implementation","specification independent","design","KST:FASE14, no tool, evaluation, no proof"
"Sara Bessling, Michaela Huhn",FHIES,2014,"Towards Formal Safety Analysis in Feature-Oriented Product Line Development","model checking","unoptimized product-based analysis","composition-based implementation","feature-based specification","design","BH:FHIES14, CSUR14, PhD15"
" Maurice H. ter Beek,  Erik P. de Vink",FORMALISE,2014,"Using mCRL2 for the Analysis of Software Product Lines","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","BV:FormaliSE14, PhD15"
" Hauke Baller,  Malte Lochau",FOSD,2014,"Towards Incremental Test Suite Optimization for Software Product Lines","testing","sample-based analysis","implementation independent","family-based specification","design, program","BL:FOSD14, no tool, no evaluation, no proof"
"Hung Viet Nguyen, Christian K&auml;stner, Tien N. Nguyen",FSE,2014,"Building Call Graphs for Embedded Client-Side Code in Dynamic Web Applications","static analysis, syntax checking, testing","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","NKN:FSE14, PhD15"
" Sheng Chen,  Martin Erwig",ICFP,2014,"Type-Based Parametric Analysis of Program Families","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","CE:ICFP14, CSUR14, PhD15"
" Hung Viet Nguyen,  Christian K&auml;stner,  Tien N. Nguyen",ICSE,2014,"Exploring Variability-Aware Execution for Testing Plugin-Based Web Applications","testing","family-based analysis","annotation-based implementation","family-wide specification","source code / program","NKN:ICSE14"
" Marcio Ribeiro,  Paulo Borba,  Christian K&auml;stner",ICSE,2014,"Feature Maintenance With Emergent Interfaces","static analysis","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","RBK:ICSE14, CSUR14, PhD15"
" Stefan Fischer,  Lukas Linsbauer,  Roberto Erick Lopez-Herrejon,  Alexander Egyed",ICSME,2014,"Enhancing Clone-and-Own With Systematic Reuse for Developing Software Variants","variant-preserving migration","product-family-based analysis","clone-and-own, product-family-based implementation","specification independent","source code","FLL+:ICSME14subsumedbyLLE:SoSyM17, tool, evaluation"
" Benjamin Klatt,  Klaus Krogmann,  Christoph Seidl",ICSME,2014,"Program Dependency Analysis for Consolidating Customized Product Copies","variant-preserving migration","product-based analysis","product-based implementation","","source code / program","KKS:ICSME14, specification undefined (none)"
"Frederik Kanning, Sandro Schulze",ICSME,2014,"Program Slicing in the Presence of Preprocessor Variability","static analysis","family-based analysis","annotation-based implementation","","source code / program","KS:ICSME14, specification undefined (none), PhD15"
" Lukas Linsbauer,  Florian Angerer,  Paul Gr&uuml;nbacher,  Daniela Lettner,  Herbert Pr&auml;hofer,  Roberto E. Lopez-Herrejon,  Alexander Egyed",ICSME,2014,"Recovering Feature-to-Code Mappings in Mixed-Variability Software Systems","variant-preserving migration","product-family-based analysis","clone-and-own, product-family-based implementation","specification independent","source code","LAG+:ICSME14, tool, evaluation"
" Hauke Baller,  Sascha Lity,  Malte Lochau,  Ina Schaefer",ICST,2014,"Multi-Objective Test Suite Optimization for Incremental Product Family Testing","test-case selection, testing","sample-based analysis, optimized product-based analysis","implementation independent","family-based specification","requirements","HSMI:ICST14"
" Xavier Devroey,  Gilles Perrouin,  Axel Legay,  Maxime Cordy,  Pierre-Yves Schobbens,  Patrick Heymans",ISOLA,2014,"Coverage Criteria for Behavioural Testing of Software Product Lines","testing","analysis strategy undefined","implementation independent","family-based specification","","DPL+:ISoLA14, no tool, no evaluation, FTS"
" Eric Walkingshaw,  Christian K&auml;stner,  Martin Erwig,  Sven Apel,  Eric Bodden",ONWARD,2014,"Variational Data Structures: Exploring Tradeoffs in Computing With Variability","data-flow analysis, syntax checking, type checking","family-based analysis","preprocessor, feature modules, family-based implementation, feature-based implementation","domain-independent specification","source code","WKE+:Onward14"
" Xavier Devroey,  Gilles Perrouin,  Pierre-Yves Schobbens",SPLAT,2014,"Abstract Test Case Generation for Behavioural Testing of Software Product Lines","testing","unoptimized product-based analysis","annotation-based implementation","family-based specification","design","DPS:SPLat14"
" Maurice H. ter Beek,  Erik P. de Vink",SPLATOOLS,2014,"Software Product Line Analysis With mCRL2","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","BV:SPLat14, PhD15"
" Maxime Cordy,  Marco Willemart,  Bruno Dawagne,  Patrick Heymans,  Pierre-Yves Schobbens",SPLATOOLS,2014,"An Extensible Platform for Product-Line Behavioural Analysis","model checking","family-based analysis","annotation-based implementation","family-based specification","design","CWD+:SPLat14, PhD15"
" Borislava I. Simidchieva,  Leon J. Osterweil",SPLC,2014,"Generation, Composition, and Verification of Families of Human-Intensive Systems","model checking","family-based analysis","services, feature-based implementation","family-wide specification","","SO:SPLC14, tool, evaluation"
" Stephan Adelsberger,  Stefan Sobernig,  Gustaf Neumann",VAMOS,2014,"Towards Assessing the Complexity of Object Migration in Dynamic, Feature-Oriented Software Product Lines","static analysis","family-based analysis","composition-based implementation","","source code / program","ASN:VaMoS14, specification undefined (none), CSUR14, PhD15"
"Andreas Classen, Maxime Cordy, Pierre-Yves Schobbens, Patrick Heymans, Axel Legay, Jean-Francois Raskin",TSE,2013,"Featured Transition Systems: Foundations for Verifying Variability-Intensive Systems and Their Application to LTL Model Checking","model checking","family-based analysis","composition-based implementation, annotation-based implementation","family-based specification","design","CCS+13, CSUR14, PhD15"
" Lorenzo Bettini,  Ferruccio Damiani,  Ina Schaefer",ACTA INFORMATICA,2013,"Compositional Type Checking of Delta-Oriented Software Product Lines","type checking","feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","BDS13, CSUR14, PhD15"
"Hamideh Sabouri, Ramtin Khosravi",JUCS,2013,"Modeling and Verification of Reconfigurable Actor Families","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","SK:JUCS13, compared to product-based (unoptimized), CSUR14, PhD15"
" Joel Greenyer,  Amir Molzam Sharifloo,  Maxime Cordy,  Patrick Heymans",REJ,2013,"Features Meet Scenarios: Modeling and Consistency-Checking Scenario-Based Product Line Specifications","model checking","family-based analysis","composition-based implementation","family-wide specification","design","GSCH:REJ13, CSUR14, PhD15"
" Claus Brabrand,  Marcio Ribeiro,  Tarsis Toledo,  Johnni Winther,  Paulo Borba",TAOSD,2013,"Intraprocedural Dataflow Analysis for Software Product Lines","static analysis","family-based analysis","annotation-based implementation","family-wide specification","source code / program","BRT+:TAOSD13, CSUR14, PhD15, BDD"
" Sergiy Kolesnikov,  Alexander von Rhein,  Claus Hunsen,  Sven Apel",GPCE,2013,"A Comparison of Product-Based, Feature-Based, and Family-Based Type Checking","type checking","family-based analysis, feature-product-based analysis","composition-based implementation","domain-independent specification","source code / program","KRHA:GPCE13, CSUR14, PhD15"
" Chang Hwan Peter Kim,  Darko Marinov,  Sarfraz Khurshid,  Don Batory,  Sabrina Souto,  Paulo Barros,  Marcelo D'Amorim",ESECFSE,2013,"SPLat: Lightweight Dynamic Analysis for Reducing Combinatorics in Testing Configurable Systems","testing","family-based analysis","annotation-based implementation","feature-based specification","source code / program","KMKB:ESECFSE13"
" J&ouml;rg Liebig,  Alexander von Rhein,  Christian K&auml;stner,  Sven Apel,  Jens D&ouml;rre,  Christian Lengauer",ESECFSE,2013,"Scalable Analysis of Variable Software","static analysis, type checking","family-based analysis, sample-based analysis","annotation-based implementation","domain-independent specification, family-wide specification","source code / program","LKA+:ESECFSE13, CSUR14, PhD15"
" Thomas Th&uuml;m,  Sven Apel,  Andreas Zelend,  Reimar Schr&ouml;ter,  Bernhard M&ouml;ller",MASPEGHI,2013,"Subclack: Feature-Oriented Programming With Behavioral Feature Interfaces","runtime analysis","unoptimized product-based analysis","composition-based implementation","feature-based specification","source code / program","TAZ+:MASPEGHI13"
" Reiner H&auml;hnle,  Ina Schaefer,  Richard Bubel",CADE,2013,"Reuse in Software Verification by Abstract Method Calls","theorem proving","regression-based analysis","composition-based implementation","feature-based specification","source code","HSB:CADE13, PhD15"
" Duc Minh Le,  Hyesun Lee,  Kyo C. Kang,  Lee Keun",ICSR,2013,"Validating Consistency Between a Feature Model and Its Implementation","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","LLKK:ICSR13, compared to none, CSUR14, PhD15"
" Sven Apel,  Alexander von Rhein,  Philipp Wendler,  Armin Gr&ouml;&szlig;linger,  Dirk Beyer",ICSE,2013,"Strategies for Product-Line Verification: Case Studies and Experiments","model checking","family-based analysis, sample-based analysis","composition-based implementation","feature-based specification","source code / program","ARW+:ICSE13, CSUR14, PhD15"
" Maxime Cordy,  Pierre-Yves Schobbens,  Patrick Heymans,  Axel Legay",ICSE,2013,"Beyond Boolean Product-Line Model Checking: Dealing With Feature Attributes and Multi-Features","model checking","family-based analysis","annotation-based implementation","family-based specification","design","CSHL:ICSE13, CSUR14, PhD15"
" Patrick Heymans,  Axel Legay,  Maxime Cordy",ICSE,2013,"Efficient Quality Assurance of Variability-Intensive Systems","model checking","family-based analysis","","","design","HLC:ICSE13"
" Maxime Cordy,  Andreas Classen,  Patrick Heymans,  Axel Legay,  Pierre-Yves Schobbens",ASAS,2013,"Model Checking Adaptive Software With Featured Transition Systems","model checking","family-based analysis","annotation-based implementation","family-based specification","design","CCH+:ASAS13, CSUR14, PhD15"
" Jianmei Guo,  Krzysztof Czarnecki,  Sven Apel,  Norbert Siegmund,  Andrzej Wasowski",ASE,2013,"Variability-Aware Performance Prediction: A Statistical Learning Approach","performance analysis","sample-based analysis","implementation independent","specification independent","program","GCA+:ASE13subsumedbyGYS+:EMSE18"
" Joel Greenyer,  Christian Brenner,  Maxime Cordy,  Patrick Heymans,  Erika Gressi",ESECFSE,2013,"Incrementally Synthesizing Controllers From Scenario-Based Product Line Specifications","synthesis","regression-based analysis","composition-based implementation","family-wide specification","design","GBC+:ESECFSE13, compared to product-based (unoptimized)"
"Michaela Huhn, Sara Bessling",FHIES,2013,"Enhancing Product Line Development by Safety Requirements and Verification","model checking","unoptimized product-based analysis","composition-based implementation","feature-based specification","design","HB:FHIES13, CSUR14, PhD15"
" Maurice H. ter Beek,  Alberto Lluch Lafuente,  Marinella Petrocchi",FMSPLE,2013,"Combining Declarative and Procedural Views in the Specification and Analysis of Product Families","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","BLP:FMSPLE13, CSUR14, PhD15"
" Christoph Seidl,  Ina Schaefer,  Uwe A&szlig;mann",FMSPLE,2013,"Variability-Aware Safety Analysis Using Delta Component Fault Diagrams","fault-tree analysis","family-product-based analysis","composition-based implementation","","design","SSA:FMSPLE13, specification undefined (none)"
" Mahsa Varshosaz,  Ramtin Khosravi",FMSPLE,2013,"Discrete Time Markov Chain Families: Modeling and Verification of Probabilistic Software Product Lines","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","VK:FMSPLE13, Markov chains, probabilistic model checking, Markov chain, PCTL, no tool, no evaluation"
" Hamideh Sabouri,  Ramtin Khosravi",FSEN,2013,"Delta Modeling and Model Checking of Product Families","model checking","family-based analysis","composition-based implementation","domain-independent specification","design","SK:FSEN13, CSUR14, PhD15"
" Flavio Medeiros,  Marcio Ribeiro,  Rohit Gheyi",GPCE,2013,"Investigating Preprocessor-Based Syntax Errors","syntax checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","MRG:GPCE13, CSUR14, PhD15"
" Maurice H. ter Beek,  Alberto Lluch Lafuente,  Marinella Petrocchi",ICTCS,2013,"Combining Declarative and Procedural Views in the Feature-Oriented Specification and Analysis of Product Families","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","BLP:ICTCS13subsumedbyBLP:FMSPLE13, CSUR14, PhD15"
" Jean-Vivien Millo,  S. Ramesh,  Shankara Narayanan Krishna,  Ganesh Khandu Narwane",IFM,2013,"Compositional Verification of Software Product Lines","model checking","feature-product-based analysis","composition-based implementation","feature-based specification","requirements, design","MRKN:iFM13"
" Eric Bodden,  Tarsis Toledo,  Marcio Ribeiro,  Claus Brabrand,  Paulo Borba,  Mira Mezini",PLDI,2013,"SPLLIFT: Statically Analyzing Software Product Lines in Minutes Instead of Years","static analysis","family-based analysis","annotation-based implementation","family-wide specification","source code / program","BTR+:PLDI13, CSUR14, PhD15, BDD"
" Benjamin Delaware,  Bruno C. d. S. Oliveira,  Tom Schrijvers",POPL,2013,"Meta-Theory a la Carte","theorem proving","feature-product-based analysis","composition-based implementation","domain-independent specification","theory","DOS:POPL13, CSUR14, PhD15"
" Maxime Cordy,  Andreas Classen,  Patrick Heymans,  Pierre-Yves Schobbens,  Axel Legay",SPLC,2013,"ProVeLines: A Product Line of Verifiers for Software Product Lines","model checking","family-based analysis","composition-based implementation, annotation-based implementation","specification undefined","design","CCH+:SPLC13"
" Christopher Henard,  Mike Papadakis,  Gilles Perrouin,  Jacques Klein,  Yves Le Traon",SPLC,2013,"Multi-Objective Test Generation for Software Product Lines","","","","","","HPP+:SPLC13"
" Lukas Linsbauer,  E. Roberto Lopez-Herrejon,  Alexander Egyed",SPLC,2013,"Recovering Traceability Between Features and Code in Product Variants","variant-preserving migration","product-family-based analysis","clone-and-own, product-family-based implementation","specification independent","source code","LLE:SPLC13subsumedbyLLE:SoSyM17, tool, evaluation"
" Dusica Marijan,  Arnaud Gotlieb,  Sagar Sen,  Aymeric Hervieu",SPLC,2013,"Practical Pairwise Testing for Software Product Lines","","","","","","MGSH:SPLC13"
" Martin Erwig,  Klaus Ostermann,  Tillmann Rendel,  Eric Walkingshaw",VAMOS,2013,"Adding Configuration to the Choice Calculus","type checking","family-based analysis","annotation-based implementation","domain-independent specification","design","EORW:VaMoS13"
" Evelyn Nicole Haslinger,  Roberto E. Lopez-Herrejon,  Alexander Egyed",VAMOS,2013,"Using Feature Model Knowledge to Speed Up the Generation of Covering Arrays","","","","","","HLHE:VaMoS13"
" Matthias Kowal,  Sandro Schulze,  Ina Schaefer",VARICOMP,2013,"Towards Efficient SPL Testing by Variant Reduction","","","","","","KSS:VariComp13"
" Paul Istoan",(phdthesis),2013,"Methodology for the Derivation of Product Behaviour in a Software Product Line","model checking, type checking","feature-product-based analysis","composition-based implementation","domain-independent specification, family-wide specification, feature-based specification","design","Istoan13, CSUR14, PhD15"
" Christian K&auml;stner,  Sven Apel,  Thomas Th&uuml;m,  Gunter Saake",TOSEM,2012,"Type Checking Annotation-Based Product Lines","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","KATS:TOSEM12, compared to single product, CSUR14, PhD15, SAT"
" Reinhard Tartler,  Daniel Lohmann,  Christian Dietrich,  Christoph Egger,  Julio Sincero",OSR,2012,"Configuration Coverage in the Analysis of Large-Scale System Software","family-specific analysis","sample-based analysis","annotation-based implementation","domain-independent specification","source code / program","TLD:OSR12, CSUR14, PhD15"
" Gilles Perrouin,  Sebastian Oster,  Sagar Sen,  Jacques Klein,  Benoit Baudry,  Yves Le Traon",SQJ,2012,"Pairwise Testing for Software Product Lines: Comparison of Two Approaches","","","","","","POS+:SQJ12"
"Andreas Classen, Maxime Cordy, Patrick Heymans, Axel Legay, Pierre-Yves Schobbens",STTT,2012,"Model Checking Software Product Lines With SNIP","model checking","family-based analysis","annotation-based implementation","family-based specification","design","CCH+12, CSUR14, PhD15"
" Sven J&ouml;rges,  Anna-Lena Lamprecht,  Tiziana Margaria,  Ina Schaefer,  Bernhard Steffen",STTT,2012,"A Constraint-Based Variability Modeling Framework","feature-model analysis","","","","","JLM+12"
" Faezeh Ensan,  Ebrahim Bagheri,  Dragan Gasevic",(incollection),2012,"Evolutionary Search-Based Test Generation for Software Product Line Feature Models","","","","","","EBG:CAiSE12"
" Martin Fagereng Johansen,  Oystein Haugen,  Franck Fleurey,  Anne Grete Eldegard,  Torbjorn Syversen",(incollection),2012,"Generating Better Partial Covering Arrays by Modeling Weights on Sub-Product Lines","","","","","","JHF+:MODELS12"
" Chang Hwan Peter Kim,  Sarfraz Khurshid,  Don Batory",ISSRE,2012,"Shared Execution for Efficiently Testing Product Lines","testing","family-based analysis","annotation-based implementation","family-based specification","source code / program","KKB:ISSRE12"
" Patrizia Asirelli,  Maurice H. ter Beek,  Alessandro Fantechi,  Stefania Gnesi",ISOLA,2012,"A Compositional Framework to Derive Product Line Behavioural Descriptions","model checking","family-based analysis","annotation-based implementation","family-based specification","design","ABFG:ISoLA12, CSUR14, PhD15"
" Ferruccio Damiani,  Ina Schaefer",ISOLA,2012,"Family-Based Analysis of Type Safety for Delta-Oriented Software Product Lines","type checking","feature-family-based analysis","composition-based implementation","domain-independent specification","source code / program","DS:ISoLA12, CSUR14, PhD15"
" Christian K&auml;stner,  Klaus Ostermann,  Sebastian Erdweg",OOPSLA,2012,"A Variability-Aware Module System","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","KOE:OOPSLA12, compared to none, CSUR14, PhD15"
" Thomas Buchmann,  Felix Schw&auml;gerl",FOSD,2012,"Ensuring Well-Formedness of Configured Domain Models in Model-Driven Product Lines Based on Negative Variability","type checking","unoptimized product-based analysis","annotation-based implementation","domain-independent specification","design","BS:FOSD12, CSUR14, PhD15"
" Christian K&auml;stner,  Alexander von Rhein,  Sebastian Erdweg,  Jonas Pusch,  Sven Apel,  Tillmann Rendel,  Klaus Ostermann",FOSD,2012,"Toward Variability-Aware Testing","testing","family-based analysis","annotation-based implementation","family-wide specification","source code / program","KRE+:FOSD12"
" Thomas Th&uuml;m,  Ina Schaefer,  Sven Apel,  Martin Hentschel",GPCE,2012,"Family-Based Deductive Verification of Software Product Lines","theorem proving","family-based analysis","feature modules, composition-based implementation","feature-based specification","source code","TSAH:GPCE12, CSUR14, PhD15, KeY, MonKeY"
" Joel Greenyer,  Amir Molzam Sharifloo,  Maxime Cordy,  Patrick Heymans",RE,2012,"Efficient Consistency Checking of Scenario-Based Product-Line Specifications","model checking","family-based analysis","composition-based implementation","family-wide specification","design","GSCH:RE12, CSUR14, PhD15"
"Giselle Machado, Vander Alves, Rohit Gheyi",WASP,2012,"Formal Specification and Verification of Well-Formedness in Business Process Product Lines","type checking","family-based analysis","composition-based implementation","domain-independent specification","design","MAG:WASP12"
" Maurice H. ter Beek,  Franco Mazzanti,  Aldi Sulova",FM,2012,"VMC: A Tool for Product Variability Analysis","model checking","family-based analysis","annotation-based implementation","family-based specification","design","BMS:FM12subsumedbyABFG:ISoLA12, CSUR14, PhD15"
"Eric Bodden",PLAS,2012,"Position Paper: Static Flow-Sensitive &amp; Context-Sensitive Information-Flow Analysis for Software Product Lines","static analysis","family-based analysis","annotation-based implementation","family-wide specification","source code / program","B:PLAS12subsumedbyBTR+:PLDI13, CSUR14, PhD15"
" Jiangfan Shi,  Myra B. Cohen,  Matthew B. Dwyer",FASE,2012,"Integration Testing of Software Product Lines Using Compositional Symbolic Execution","static analysis, testing","family-product-based analysis","annotation-based implementation","domain-independent specification","source code / program","SCD:FASE12, CSUR14, PhD15"
" Claus Brabrand,  Marcio Ribeiro,  Tarsis Toledo,  Paulo Borba",AOSD,2012,"Intraprocedural Dataflow Analysis for Software Product Lines","static analysis","family-based analysis","annotation-based implementation","family-wide specification","source code / program","BRTB:AOSD12subsumedbyBRT+:TAOSD13, CSUR14, PhD15"
" Hamideh Sabouri,  Mohammad Mahdi Jaghoori,  Frank de Boer,  Ramtin Khosravi",COMPSAC,2012,"Scheduling and Analysis of Real-Time Software Families","model checking","family-based analysis","annotation-based implementation","domain-independent specification","design","SJBK:COMPSAC12, compared to product-based (unoptimized), CSUR14, PhD15"
" Maxime Cordy,  Pierre-Yves Schobbens,  Patrick Heymans,  Axel Legay",FMSPLE,2012,"Towards an Incremental Automata-Based Approach for Software Product-Line Model Checking","model checking","regression-based analysis","composition-based implementation","family-wide specification","design","CSHL:FMSPLE12, CSUR14, PhD15"
" Ferruccio Damiani,  Olaf Owe,  Johan Dovland,  Ina Schaefer,  Einar Broch Johnsen,  Ingrid Chieh Yu",FMSPLE,2012,"A Transformational Proof System for Delta-Oriented Programming","theorem proving","feature-product-based analysis","composition-based implementation","feature-based specification","source code","DDJ+:FMSPLE12, CSUR14, PhD15"
" Hamideh Sabouri,  Ramtin Khosravi",FSEN,2012,"Efficient Verification of Evolving Software Product Lines","model checking","family-based analysis","composition-based implementation","family-wide specification","design","SK:FSEN12, CSUR14, PhD15"
" Sheng Chen,  Martin Erwig,  Eric Walkingshaw",ICFP,2012,"An Error-Tolerant Type System for Variational Lambda Calculus","type checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","CEW:ICFP12subsumedbyCEW:TOPLAS14, CSUR14, PhD15"
" Maxime Cordy,  Andreas Classen,  Gilles Perrouin,  Pierre-Yves Schobbens,  Patrick Heymans,  Axel Legay",ICSE,2012,"Simulation-Based Abstractions for Software Product-Line Model Checking","model checking","family-based analysis","annotation-based implementation","family-based specification","design","CCP+:ICSE12, CSUR14, PhD15"
" Reiner H&auml;hnle,  Ina Schaefer",ISOLA,2012,"A Liskov Principle for Delta-Oriented Programming","theorem proving","feature-family-based analysis","composition-based implementation","feature-based specification","source code","HS:ISoLA12, CSUR14, PhD15"
" Georg P&uuml;schel,  Ronny Seiger,  Thomas Schlegel",MODIQUITOUS,2012,"Test Modeling for Context-aware Ubiquitous Applications With Feature Petri Nets","testing","unoptimized product-based analysis","implementation independent","family-based specification","source code / program","PSS:MODIQUITOUS12"
" Paul Gazzillo,  Robert Grimm",PLDI,2012,"SuperC: Parsing All of C by Taming the Preprocessor","syntax checking","family-based analysis","annotation-based implementation","domain-independent specification","source code / program","GG:PLDI12, CSUR14, PhD15, BDD"
" Maurice H. ter Beek,  Henry Muccini,  Patrizio Pelliccione",SERENE,2012,"Assume-Guarantee Testing of Evolving Software Product Line Architectures","model checking, testing","feature-product-based analysis, regression-based analysis, sample-based analysis","composition-based implementation","feature-based specification","design","BMP:SERENE12"
" Maurice H. ter Beek,  Stefania Gnesi,  Franco Mazzanti",SPLC,2012,"Demonstration of a Model Checker for the Analysis of Product Variability","model checking","family-based analysis","annotation-based implementation","family-based specification","design","BGM:SPLC12subsumedbyABFG:ISoLA12, CSUR14, PhD15"
" Maxime Cordy,  Pierre-Yves Schobbens,  Patrick Heymans,  Axel Legay",SPLC,2012,"Behavioural Modelling and Verification of Real-Time Software Product Lines","model checking","family-based analysis","annotation-based implementation","family-wide specification","design","CSHL:SPLC12, CSUR14, PhD15"
" Wolfgang Heider,  Rick Rabiser,  Paul Gr&uuml;nbacher,  Daniela Lettner",SPLC,2012,"Using Regression Testing to Analyze the Impact of Changes to Variability Models on Products","testing","unoptimized product-based analysis","annotation-based implementation","","source code / program","HRGL:SPLC12, specification undefined (none)"
" Martin Fagereng Johansen,  Oystein Haugen,  Franck Fleurey",SPLC,2012,"An Algorithm for Generating T-Wise Covering Arrays From Large Feature Models","feature-model analysis","sample-based analysis","implementation independent","specification independent","","MHF:SPLC12, tool, evaluation"
" Maxime Cordy,  Andreas Classen,  Pierre-Yves Schobbens,  Patrick Heymans,  Axel Legay",VAMOS,2012,"Managing Evolution in Software Product Lines: A Model-Checking Perspective","model checking","family-based analysis","annotation-based implementation","family-based specification","design","CCS+:VaMoS12, CSUR14, PhD15"
" Yinxing Xue,  Zhenchang Xing,  Stan Jarzabek",WCRE,2012,"Feature Location in a Collection of Product Variants","information retrieval","product-family-based analysis","clone-and-own, product-based implementation","specification independent","source code","XXJ:WCRE12, tool, evaluation, no proof"
"Eric Bodden, Tarsis Toledo, Marcio Ribeiro, Claus Brabrand, Paulo Borba, Mira Mezini",(techreport),2012,"Transparent and Efficient Reuse of IFDS-Based Static Program Analyses for Software Product Lines","static analysis","family-based analysis","annotation-based implementation","family-wide specification","source code / program","BTR+:TR12subsumedbyBTR+:PLDI13, CSUR14, PhD15"
