Authors,Venue,Year,Title,Category,Detailed,Further Tags,Key
" Daniela Castelluccia,  Nicola Boffoli",SEN,2014,"Service-Oriented Product Lines: A Systematic Mapping Studys","problem space, solution space","pl technique application","dynamic spl, service-oriented pl",CB:SEN14
" Jens Meinicke,  Thomas Th&uuml;m,  Reimar Schr&ouml;ter,  Fabian Benduhn,  Gunter Saake",SPLATOOLS,2014,"An Overview on Analysis Tools for Software Product Lines","problem space, solution space","tool support","",MTS+:SPLat14
" Wolfram Fenske,  Thomas Th&uuml;m,  Gunter Saake",VAMOS,2014,"A Taxonomy of Software Product Line Reengineering","solution space","reengineering","",FTS:VaMoS14
" Carla I. M. Bezerra,  Rossana M. C. Andrade,  Jose Maria S. Monteiro",ICSR,2014,"Measures for Quality Evaluation of Feature Models","solution space","quality assurance","",BAM:ICSR15
" Wesley Klewerton Guez Assuncao,  Silvia Regina Vergilio",REVE,2014,"Feature Location for Software Product Line Migration: A Mapping Study","solution space","reengineering","migration",AV:REVE14
" Paulo Gabriel Gadelha Queiroz,  Rosana Teresinha Vaccare Braga",SBCARS,2014,"Development of Critical Embedded Systems Using Model-Driven and Product Lines Techniques: A Systematic Review","problem space, solution space","pl technique application","",QB:SBCARS14
" Ismayle Sousa Santos,  Rossana MC Castro Andrade,  Pedro A Santos Neto",SBCARS,2014,"How to Describe SPL Variabilities in Textual Use Cases: A Systematic Mapping Study","solution space","","requirements",SAN:SBCARS14
" Gustavo Vale,  Eduardo Figueiredo,  Ramon Abilio,  Heitor Costa",SBCARS,2014,"Bad Smells in Software Product Lines: A Systematic Review","solution space","reengineering","",VFAC:SBCARS14
" Larissa Rocha Soares,  Pasqualina Potena,  Ivan Do Carmo Machado,  Ivica Crnkovic,  Eduardo Santana de Almeida",SEAA,2014,"Analysis of Non-functional Properties in Software Product Lines: A Systematic Review","solution space","quality assurance","",SPM+:SEAA14
" Arnaud Hubaux,  Thein Than Tun,  Patrick Heymans",CSUR,2013,"Separation of Concerns in Feature Diagram Languages: A Systematic Survey","problem space","representation","",HTH13
" Miguel A. Laguna,  Yania Crespo",SCP,2013,"A Systematic Mapping Study on Software Product Line Evolution: From Legacy System Reengineering to Product Line Refactoring","solution space","reengineering","",LC:SCP13
" Ruben Heradio,  David Fernandez-Amoros,  Jose Antonio Cerrada,  Ismael Abad",IJSEKE,2013,"A Literature Review on Feature Diagram Product Counting and Its Usage in Software Product Line Economic Models","problem space","analysis","",HFCA:IJSEKE13
" Roberto dos Santos Rocha,  Marcelo Fantinato",IST,2013,"The Use of Software Product Lines for Business Process Management: A Systematic Literature Review","problem space, solution space","","pl technqiue application",DF:IST13
" Bardia Mohabbati,  Mohsen Asadi,  Dragan Gasevic,  Marek Hatala,  Hausi A. M&uuml;ller",IST,2013,"Combining Service-Orientation and Software Product Line Engineering: A Systematic Mapping Study","problem space, solution space","pl technique application","service-oriented pl",MAG+:IST13
" Bogdan Dit,  Meghan Revelle,  Malcom Gethers,  Denys Poshyvanyk",JSEP,2013,"Feature Location in Source Code: A Taxonomy and Survey","solution space","reengineering","feature location, traceability",DRGP:JSEP13
" Mauricio Alferez,  Rodrigo Bonifacio,  Leopoldo Teixeira,  Paola Accioly,  Uira Kulesza,  Ana Moreira,  Joao Araujo,  Paulo Borba",REJ,2013,"Evaluating Scenario-Based SPL Requirements Approaches: The Case for Modularity, Stability and Expressiveness","solution space","","requirements",ABT+:REJ13
" Matthias Galster,  Danny Weyns,  Dan Tofan,  Bartosz Michalik,  Paris Avgeriou",TSE,2013,"Variability in Software Systems-a Systematic Literature Review","problem space, solution space","","",GWT+:TSE13
" Julia Rubin,  Marsha Chechik",(incollection),2013,"A Survey of Feature Location Techniques","solution space","reengineering","feature location, traceability",RC13
" Jackson Raniel F. da Silva,  Francisco Airton P. da Silva,  Leandro M. do Nascimento,  Dhiego A. O. Martins,  Vinicius C. Garcia",IRI,2013,"The Dynamic Aspects of Product Derivation in DSPL: A Systematic Literature Review","problem space, solution space","pl technique application","dynamic spl",DDD+:IRI13
" Matthew Stephan,  James R. Cordy",MODELSWARD,2013,"A Survey of Model Comparison Approaches and Applications","solution space","architecture, design","",SC:MODELSWARD13
" Gerald Holl,  Paul Gr&uuml;nbacher,  Rick Rabiser",IST,2012,"A Systematic Review and an Expert Survey on Capabilities Supporting Multi Product Lines","problem space, solution space","","",HGR:IST12
" Sonia Montagud,  Silvia Abrahao,  Emilio Insfran",SQJ,2012,"A Systematic Review of Quality Attributes and Measures for Software Product Lines","solution space","quality assurance","",MAI:SQJ12
" Ina Schaefer,  Rick Rabiser,  Dave Clarke,  Lorenzo Bettini,  David Benavides,  Goetz Botterweck,  Animesh Pathak,  Salvador Trujillo,  Karina Villela",STTT,2012,"Software Diversity: State of the Art and Perspectives","problem space, solution space","","",SRC+12
" Crescencio Rodrigues Lima Neto,  Paulo Anselmo da Mota Silveira Neto,  Eduardo Santana de Almeida,  Silvio Romero de Lemos Meira",SEKE,2012,"A Mapping Study on Software Product Lines Testing Tools","solution space","quality assurance","dynamic analysis",NNDD:SEKE12
" Jihyun Lee,  Sungwon Kang,  Danhyung Lee",SPLC,2012,"A Survey on Software Product Line Testing","solution space","quality assurance","dynamic analysis",LKL:SPLC12
" Varvana Myll&auml;rniemi,  Mikko Raatikainen,  Tomi M&auml;nnist&ouml;",SPLC,2012,"A Systematically Conducted Literature Review: Quality Attribute Variability in Software Product Lines","solution space","quality assurance","",MRM:SPLC12
" Tassio Vale,  Gustavo Bittencourt Figueiredo,  Eduardo Santana de Almeida,  Silvio Romero de Lemos Meira",SPLC,2012,"A Study on Service Identification Methods for Software Product Lines","problem space, solution space","pl technique application","",VFDD:SPLC12
" Krzysztof Czarnecki,  Paul Gr&uuml;nbacher,  Rick Rabiser,  Klaus Schmid,  Andrzej Wasowski",VAMOS,2012,"Cool Features and Tough Decisions: A Comparison of Variability Modeling Approaches","problem space","representation","",CGR+:VaMoS12
" Paulo Anselmo Da Mota Silveira Neto,  Ivan Do Carmo Machado,  John D. McGregor,  Eduardo Santana De Almeida,  Silvio Romero De Lemos Meira",IST,2011,"A Systematic Mapping Study of Software Product Lines Testing","solution space","quality assurance","dynamic analysis",DCI+11
" Emelie Engstr&ouml;m,  Per Runeson",IST,2011,"Software Product Line Testing - A Systematic Mapping Study","solution space","quality assurance","dynamic analysis",ER:IST11
" Lianping Chen,  Muhammad Ali Babar",IST,2011,"A Systematic Review of Evaluation of Variability Management Approaches in Software Product Lines","problem space, solution space","","",CB:IST11
" Ivonei Freitas Da Silva,  Paulo Anselmo da Mota Silveira Neto,  Padraig O'Leary,  Eduardo Santana De Almeida,  Silvio Romero de Lemos Meira",SPE,2011,"Agile Software Product Lines: A Systematic Mapping Study","problem space, solution space","processes","",DDO+:SPE11
" Jessica Diaz,  Jennifer Perez,  Pedro P Alarcon,  Juan Garbajosa",SPE,2011,"Agile Product Line Engineering&#8211;A Systematic Literature Review","problem space, solution space","processes","",DPAG:SPE11
" Jonatas Ferreira Bastos,  Paulo Anselmo da Mota Silveira Neto,  Eduardo Santana de Almeida,  Silvio Romero de Lemos Meira",EASE,2011,"Adopting Software Product Lines: A Systematic Mapping Study","solution space","reengineering","migration",BNDD:EASE11
" Martin Fagereng Johansen,  Oystein Haugen,  Franck Fleurey",ICST,2011,"A Survey of Empirics of Strategies for Software Product Line Testing","solution space","quality assurance","dynamic analysis",JHF:ICST11
" Paul Istoan,  Jacques Klein,  Gilles Perrouin,  Jean-Marc Jezequel",MODELS,2011,"A Metamodel-Based Classification of Variability Modeling Approaches","problem space, solution space","","",IKPJ:MODELS11
